Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,463267,10,0.1,GOLDTEN,GOLDTEN30SEP25,30-SEP-2025,FUTCOM,XX,0,1,
MCX,466028,10,0.1,GOLDTEN,GOLDTEN31OCT25,31-OCT-2025,FUTCOM,XX,0,1,
MCX,467742,10,0.1,GOLDTEN,GOLDTEN28NOV25,28-NOV-2025,FUTCOM,XX,0,1,
MCX,472782,10,0.1,GOLDTEN,GOLDTEN31DEC25,31-DEC-2025,FUTCOM,XX,0,1,
MCX,472783,10,0.1,GOLDTEN,GOLDTEN30JAN26,30-JAN-2026,FUTCOM,XX,0,1,
MCX,472784,10,0.1,GOLDTEN,GOLDTEN27FEB26,27-FEB-2026,FUTCOM,XX,0,1,
MCX,458306,5,100,COTTONOIL,COTTONOIL30SEP25,30-SEP-2025,FUTCOM,XX,0,0.1,
MCX,463269,5,100,COTTONOIL,COTTONOIL31OCT25,31-OCT-2025,FUTCOM,XX,0,0.1,
MCX,466032,5,100,COTTONOIL,COTTONOIL28NOV25,28-NOV-2025,FUTCOM,XX,0,0.1,
MCX,467749,5,100,COTTONOIL,COTTONOIL31DEC25,31-DEC-2025,FUTCOM,XX,0,0.1,
MCX,463397,50,1,ELECDMBL,ELECDMBL29SEP25,29-SEP-2025,FUTCOM,XX,0,1,
MCX,463398,50,1,ELECDMBL,ELECDMBL30OCT25,30-OCT-2025,FUTCOM,XX,0,1,
MCX,466030,50,1,ELECDMBL,ELECDMBL28NOV25,28-NOV-2025,FUTCOM,XX,0,1,
MCX,467751,50,1,ELECDMBL,ELECDMBL30DEC25,30-DEC-2025,FUTCOM,XX,0,1,
MCX,456792,250,1,NATGASMINI,NATGASMINI28OCT25,28-OCT-2025,FUTCOM,XX,0,0.1,
MCX,458148,250,1,NATGASMINI,NATGASMINI24NOV25,24-NOV-2025,FUTCOM,XX,0,0.1,
MCX,463008,250,1,NATGASMINI,NATGASMINI26DEC25,26-DEC-2025,FUTCOM,XX,0,0.1,
MCX,465850,250,1,NATGASMINI,NATGASMINI27JAN26,27-JAN-2026,FUTCOM,XX,0,0.1,
MCX,467386,250,1,NATGASMINI,NATGASMINI24FEB26,24-FEB-2026,FUTCOM,XX,0,0.1,
MCX,475112,250,1,NATGASMINI,NATGASMINI26MAR26,26-MAR-2026,FUTCOM,XX,0,0.1,
MCX,465845,250,1,NATGASMINI,NATGASMINI24OCT25C310,24-OCT-2025,OPTFUT,CE,310,0.05,
MCX,465846,250,1,NATGASMINI,NATGASMINI24OCT25P310,24-OCT-2025,OPTFUT,PE,310,0.05,
MCX,465918,250,1,NATGASMINI,NATGASMINI24OCT25C300,24-OCT-2025,OPTFUT,CE,300,0.05,
MCX,465919,250,1,NATGASMINI,NATGASMINI24OCT25C295,24-OCT-2025,OPTFUT,CE,295,0.05,
MCX,465920,250,1,NATGASMINI,NATGASMINI24OCT25C290,24-OCT-2025,OPTFUT,CE,290,0.05,
MCX,465921,250,1,NATGASMINI,NATGASMINI24OCT25C285,24-OCT-2025,OPTFUT,CE,285,0.05,
MCX,465922,250,1,NATGASMINI,NATGASMINI24OCT25C280,24-OCT-2025,OPTFUT,CE,280,0.05,
MCX,465923,250,1,NATGASMINI,NATGASMINI24OCT25C275,24-OCT-2025,OPTFUT,CE,275,0.05,
MCX,465924,250,1,NATGASMINI,NATGASMINI24OCT25C270,24-OCT-2025,OPTFUT,CE,270,0.05,
MCX,465925,250,1,NATGASMINI,NATGASMINI24OCT25C265,24-OCT-2025,OPTFUT,CE,265,0.05,
MCX,465926,250,1,NATGASMINI,NATGASMINI24OCT25C260,24-OCT-2025,OPTFUT,CE,260,0.05,
MCX,465927,250,1,NATGASMINI,NATGASMINI24OCT25C255,24-OCT-2025,OPTFUT,CE,255,0.05,
MCX,465928,250,1,NATGASMINI,NATGASMINI24OCT25C250,24-OCT-2025,OPTFUT,CE,250,0.05,
MCX,465929,250,1,NATGASMINI,NATGASMINI24OCT25C245,24-OCT-2025,OPTFUT,CE,245,0.05,
MCX,465930,250,1,NATGASMINI,NATGASMINI24OCT25C240,24-OCT-2025,OPTFUT,CE,240,0.05,
MCX,465931,250,1,NATGASMINI,NATGASMINI24OCT25C235,24-OCT-2025,OPTFUT,CE,235,0.05,
MCX,465932,250,1,NATGASMINI,NATGASMINI24OCT25C230,24-OCT-2025,OPTFUT,CE,230,0.05,
MCX,465933,250,1,NATGASMINI,NATGASMINI24OCT25C305,24-OCT-2025,OPTFUT,CE,305,0.05,
MCX,465934,250,1,NATGASMINI,NATGASMINI24OCT25C315,24-OCT-2025,OPTFUT,CE,315,0.05,
MCX,465935,250,1,NATGASMINI,NATGASMINI24OCT25C320,24-OCT-2025,OPTFUT,CE,320,0.05,
MCX,465936,250,1,NATGASMINI,NATGASMINI24OCT25C325,24-OCT-2025,OPTFUT,CE,325,0.05,
MCX,465937,250,1,NATGASMINI,NATGASMINI24OCT25C330,24-OCT-2025,OPTFUT,CE,330,0.05,
MCX,465938,250,1,NATGASMINI,NATGASMINI24OCT25C335,24-OCT-2025,OPTFUT,CE,335,0.05,
MCX,465939,250,1,NATGASMINI,NATGASMINI24OCT25C340,24-OCT-2025,OPTFUT,CE,340,0.05,
MCX,465940,250,1,NATGASMINI,NATGASMINI24OCT25C345,24-OCT-2025,OPTFUT,CE,345,0.05,
MCX,465941,250,1,NATGASMINI,NATGASMINI24OCT25C350,24-OCT-2025,OPTFUT,CE,350,0.05,
MCX,465942,250,1,NATGASMINI,NATGASMINI24OCT25C355,24-OCT-2025,OPTFUT,CE,355,0.05,
MCX,465943,250,1,NATGASMINI,NATGASMINI24OCT25C360,24-OCT-2025,OPTFUT,CE,360,0.05,
MCX,465944,250,1,NATGASMINI,NATGASMINI24OCT25C365,24-OCT-2025,OPTFUT,CE,365,0.05,
MCX,465945,250,1,NATGASMINI,NATGASMINI24OCT25C370,24-OCT-2025,OPTFUT,CE,370,0.05,
MCX,465946,250,1,NATGASMINI,NATGASMINI24OCT25C375,24-OCT-2025,OPTFUT,CE,375,0.05,
MCX,465947,250,1,NATGASMINI,NATGASMINI24OCT25C380,24-OCT-2025,OPTFUT,CE,380,0.05,
MCX,465949,250,1,NATGASMINI,NATGASMINI24OCT25P300,24-OCT-2025,OPTFUT,PE,300,0.05,
MCX,465950,250,1,NATGASMINI,NATGASMINI24OCT25P295,24-OCT-2025,OPTFUT,PE,295,0.05,
MCX,465951,250,1,NATGASMINI,NATGASMINI24OCT25P290,24-OCT-2025,OPTFUT,PE,290,0.05,
MCX,465952,250,1,NATGASMINI,NATGASMINI24OCT25P285,24-OCT-2025,OPTFUT,PE,285,0.05,
MCX,465953,250,1,NATGASMINI,NATGASMINI24OCT25P280,24-OCT-2025,OPTFUT,PE,280,0.05,
MCX,465954,250,1,NATGASMINI,NATGASMINI24OCT25P275,24-OCT-2025,OPTFUT,PE,275,0.05,
MCX,465955,250,1,NATGASMINI,NATGASMINI24OCT25P270,24-OCT-2025,OPTFUT,PE,270,0.05,
MCX,465956,250,1,NATGASMINI,NATGASMINI24OCT25P265,24-OCT-2025,OPTFUT,PE,265,0.05,
MCX,465957,250,1,NATGASMINI,NATGASMINI24OCT25P260,24-OCT-2025,OPTFUT,PE,260,0.05,
MCX,465958,250,1,NATGASMINI,NATGASMINI24OCT25P255,24-OCT-2025,OPTFUT,PE,255,0.05,
MCX,465959,250,1,NATGASMINI,NATGASMINI24OCT25P250,24-OCT-2025,OPTFUT,PE,250,0.05,
MCX,465960,250,1,NATGASMINI,NATGASMINI24OCT25P245,24-OCT-2025,OPTFUT,PE,245,0.05,
MCX,465961,250,1,NATGASMINI,NATGASMINI24OCT25P240,24-OCT-2025,OPTFUT,PE,240,0.05,
MCX,465962,250,1,NATGASMINI,NATGASMINI24OCT25P235,24-OCT-2025,OPTFUT,PE,235,0.05,
MCX,465963,250,1,NATGASMINI,NATGASMINI24OCT25P230,24-OCT-2025,OPTFUT,PE,230,0.05,
MCX,465964,250,1,NATGASMINI,NATGASMINI24OCT25P305,24-OCT-2025,OPTFUT,PE,305,0.05,
MCX,465965,250,1,NATGASMINI,NATGASMINI24OCT25P315,24-OCT-2025,OPTFUT,PE,315,0.05,
MCX,465966,250,1,NATGASMINI,NATGASMINI24OCT25P320,24-OCT-2025,OPTFUT,PE,320,0.05,
MCX,465967,250,1,NATGASMINI,NATGASMINI24OCT25P325,24-OCT-2025,OPTFUT,PE,325,0.05,
MCX,465968,250,1,NATGASMINI,NATGASMINI24OCT25P330,24-OCT-2025,OPTFUT,PE,330,0.05,
MCX,465969,250,1,NATGASMINI,NATGASMINI24OCT25P335,24-OCT-2025,OPTFUT,PE,335,0.05,
MCX,465970,250,1,NATGASMINI,NATGASMINI24OCT25P340,24-OCT-2025,OPTFUT,PE,340,0.05,
MCX,465971,250,1,NATGASMINI,NATGASMINI24OCT25P345,24-OCT-2025,OPTFUT,PE,345,0.05,
MCX,465972,250,1,NATGASMINI,NATGASMINI24OCT25P350,24-OCT-2025,OPTFUT,PE,350,0.05,
MCX,465973,250,1,NATGASMINI,NATGASMINI24OCT25P355,24-OCT-2025,OPTFUT,PE,355,0.05,
MCX,465974,250,1,NATGASMINI,NATGASMINI24OCT25P360,24-OCT-2025,OPTFUT,PE,360,0.05,
MCX,465975,250,1,NATGASMINI,NATGASMINI24OCT25P365,24-OCT-2025,OPTFUT,PE,365,0.05,
MCX,465976,250,1,NATGASMINI,NATGASMINI24OCT25P370,24-OCT-2025,OPTFUT,PE,370,0.05,
MCX,465977,250,1,NATGASMINI,NATGASMINI24OCT25P375,24-OCT-2025,OPTFUT,PE,375,0.05,
MCX,465978,250,1,NATGASMINI,NATGASMINI24OCT25P380,24-OCT-2025,OPTFUT,PE,380,0.05,
MCX,465993,250,1,NATGASMINI,NATGASMINI24OCT25C385,24-OCT-2025,OPTFUT,CE,385,0.05,
MCX,465994,250,1,NATGASMINI,NATGASMINI24OCT25C390,24-OCT-2025,OPTFUT,CE,390,0.05,
MCX,465995,250,1,NATGASMINI,NATGASMINI24OCT25P385,24-OCT-2025,OPTFUT,PE,385,0.05,
MCX,465996,250,1,NATGASMINI,NATGASMINI24OCT25P390,24-OCT-2025,OPTFUT,PE,390,0.05,
MCX,466154,250,1,NATGASMINI,NATGASMINI24OCT25C225,24-OCT-2025,OPTFUT,CE,225,0.05,
MCX,466160,250,1,NATGASMINI,NATGASMINI24OCT25P225,24-OCT-2025,OPTFUT,PE,225,0.05,
MCX,466563,250,1,NATGASMINI,NATGASMINI24OCT25C220,24-OCT-2025,OPTFUT,CE,220,0.05,
MCX,466564,250,1,NATGASMINI,NATGASMINI24OCT25C215,24-OCT-2025,OPTFUT,CE,215,0.05,
MCX,466569,250,1,NATGASMINI,NATGASMINI24OCT25P220,24-OCT-2025,OPTFUT,PE,220,0.05,
MCX,466570,250,1,NATGASMINI,NATGASMINI24OCT25P215,24-OCT-2025,OPTFUT,PE,215,0.05,
MCX,467271,250,1,NATGASMINI,NATGASMINI24OCT25C210,24-OCT-2025,OPTFUT,CE,210,0.05,
MCX,467272,250,1,NATGASMINI,NATGASMINI24OCT25C205,24-OCT-2025,OPTFUT,CE,205,0.05,
MCX,467275,250,1,NATGASMINI,NATGASMINI24OCT25P210,24-OCT-2025,OPTFUT,PE,210,0.05,
MCX,467276,250,1,NATGASMINI,NATGASMINI24OCT25P205,24-OCT-2025,OPTFUT,PE,205,0.05,
MCX,467344,250,1,NATGASMINI,NATGASMINI24OCT25C200,24-OCT-2025,OPTFUT,CE,200,0.05,
MCX,467346,250,1,NATGASMINI,NATGASMINI24OCT25P200,24-OCT-2025,OPTFUT,PE,200,0.05,
MCX,467383,250,1,NATGASMINI,NATGASMINI20NOV25C325,20-NOV-2025,OPTFUT,CE,325,0.05,
MCX,467384,250,1,NATGASMINI,NATGASMINI20NOV25P325,20-NOV-2025,OPTFUT,PE,325,0.05,
MCX,467479,250,1,NATGASMINI,NATGASMINI20NOV25C320,20-NOV-2025,OPTFUT,CE,320,0.05,
MCX,467480,250,1,NATGASMINI,NATGASMINI20NOV25C315,20-NOV-2025,OPTFUT,CE,315,0.05,
MCX,467481,250,1,NATGASMINI,NATGASMINI20NOV25C310,20-NOV-2025,OPTFUT,CE,310,0.05,
MCX,467482,250,1,NATGASMINI,NATGASMINI20NOV25C305,20-NOV-2025,OPTFUT,CE,305,0.05,
MCX,467483,250,1,NATGASMINI,NATGASMINI20NOV25C300,20-NOV-2025,OPTFUT,CE,300,0.05,
MCX,467484,250,1,NATGASMINI,NATGASMINI20NOV25C295,20-NOV-2025,OPTFUT,CE,295,0.05,
MCX,467485,250,1,NATGASMINI,NATGASMINI20NOV25C290,20-NOV-2025,OPTFUT,CE,290,0.05,
MCX,467486,250,1,NATGASMINI,NATGASMINI20NOV25C285,20-NOV-2025,OPTFUT,CE,285,0.05,
